Age at Enrollment,Admission Grade,1st semester grade,2nd semester grade,Tuition Fees Up to Date,Scholarship Holder
19,115.5,11,11,1,0
18,117.2,11.875,14.6,1,0
34,150,11,0,1,0
19,155.3,15.2,13.2,1,0
19,120,11.6,11,0,0
26,116.1,########,########,1,0
21,118.9,########,########,1,0
18,127.3,11.2,11.8,1,1
20,113.7,13.4,########,1,1
25,118.5,10.5,0,1,0
18,146.7,16.2,16.4,1,0
18,124.3,########,########,1,1
19,137.8,########,########,1,0
18,130.2,########,########,1,1
20,147.8,########,########,1,0
26,150,0,0,0,0
19,100,########,########,1,1
19,155.6,14.3,########,1,0
19,117.4,11.8,12,1,0
19,128.8,########,13,1,0
18,117.5,########,########,1,0
19,120.4,########,########,1,0
18,130.9,########,11,1,0
18,125,12.6,11.4,1,0
18,136.8,14,11.6,1,0
18,121.6,12,########,1,0
26,151,0,0,1,0
20,103.5,12,13,1,0
19,119.4,########,########,1,0
18,134.4,########,########,1,1
19,143,########,########,1,0
40,110,15,########,1,0
18,132.5,1.339.125,1.339.125,1,1
19,114.7,########,########,1,0
18,166.9,11.25,12.5,1,0
19,125.9,12,12,1,0
18,178.3,0,0,1,0
33,117,########,########,1,0
35,150,14,13.1,1,0
26,130,13,12,1,0
18,135.1,13.5,12.5,1,0
36,110,########,########,1,0
39,136.2,11,########,1,0
44,116,13,########,1,0
20,100,12,11.25,1,0
24,116.3,12.6,11.5,1,0
20,134,########,########,1,1
19,124.2,0,0,0,0
18,134.5,14.2,14.2,1,1
22,120.7,11,0,0,0
18,127.1,15,########,1,0
24,133,########,########,1,0
33,128.2,0,0,1,0
30,130,0,0,1,1
26,172,0,0,1,0
18,128.5,########,########,1,0
19,128.5,########,10,1,0
20,112,########,11,1,0
22,142.5,13.5,########,1,1
19,133,13.98,13.98,1,0
21,106,########,15.75,1,1
21,125.5,########,########,1,1
19,131.2,11,11.2,1,0
19,112.9,########,########,1,1
18,124.8,########,########,1,0
50,140.9,########,########,1,0
31,148,11.25,########,1,1
19,148.4,########,########,1,1
35,129.7,12,########,1,0
31,128.2,0,0,1,0
42,104,11.9,12.8,1,0
34,119.9,0,0,0,0
18,141,########,########,1,1
18,116.6,########,########,0,1
21,140,########,13.5,1,0
26,140,12.74,########,1,1
20,100,13.25,13.75,1,0
19,121,########,########,1,0
19,117,########,########,1,1
20,140.2,########,########,1,0
19,129.3,11.5,########,1,0
18,145.3,########,########,1,0
28,146.2,########,12,1,0
22,122.5,########,12.4,1,0
21,156.1,########,########,1,1
21,140,12.75,11,1,0
26,140,11.2,12.14,1,0
18,128.4,13,11.4,0,0
20,115,10.5,########,0,0
18,158.7,########,14,1,0
19,124.5,12.86,12.86,1,1
20,111.9,########,12,1,0
22,150,########,12,1,1
18,114.2,11.8,########,1,0
19,96,########,0,1,0
18,128.9,11.6,11.2,1,1
20,121.7,########,########,1,0
19,114.8,12.25,11,1,0
19,127,12,12.75,1,0
19,131.3,########,########,1,0
18,137.1,0,0,1,0
21,120,########,14.25,1,0
27,139,15.8,14.8,1,0
19,129.1,########,########,1,0
25,128.2,0,0,1,0
18,120.8,########,########,1,1
24,135.8,########,########,1,0
20,118.9,115.875,########,1,0
26,140,14,15.6,1,0
20,127.1,########,########,1,1
18,137,14,15.4,1,0
19,127.4,########,12.375,1,0
23,97,11.6,11,1,0
18,126.3,11.6,11.6,1,1
18,127.5,0,0,1,0
19,126.6,########,########,1,1
30,120,########,14.8,1,0
29,140,0,0,1,0
19,131.5,1.325.375,1.325.375,1,0
20,112.2,########,14.1,1,0
20,150.5,########,########,1,0
19,121,13.5,########,1,0
20,112.2,########,########,1,0
21,129.4,0,0,1,0
19,114.4,11.5,14.6,1,0
18,120.3,########,########,1,1
27,120,########,12.8,1,1
19,114.5,13.4,12.4,1,1
19,127.8,0,0,1,1
19,124.6,14.2,########,1,0
18,130.3,########,########,1,1
20,118.2,11.25,10.5,1,1
18,118.8,14.5,########,1,1
19,133,0,0,1,0
36,129,11.3,11.3,1,0
18,100,0,16,1,0
18,120.7,12,12,1,0
19,132.5,12.3,12.3,1,0
18,120.3,########,########,1,1
18,114.6,11,11,1,0
19,116.5,13,########,1,1
19,127.8,144.125,16.05,1,1
18,129.9,1.292.875,140.625,1,0
20,118.9,########,12.8,1,0
20,114.3,12.8,12.8,1,1
20,114.8,########,########,1,0
18,123,########,########,1,1
18,122.1,1.413.125,1.398.375,1,0
19,123.7,########,12.6,1,0
19,132.4,11.8,11.25,1,0
44,114.8,########,11,1,0
32,130,0,0,1,0
22,122.3,13.6,12,1,0
36,152.4,########,########,1,0
18,120.1,12.5,########,1,1
20,155.1,16.4,14.6,1,0
20,124.5,########,########,1,1
19,126.9,10.6,10.5,1,0
24,153.2,10.2,12.2,1,0
20,129.8,10.6,10.4,1,0
27,135,########,10.8,1,0
20,131.3,########,12.625,1,0
23,125.2,13,########,1,1
18,141.3,13.31,13.31,1,1
18,117.1,########,12.2,1,1
20,126.5,########,########,1,1
20,120.1,########,########,1,1
23,128.4,11.875,########,1,0
20,140,########,########,1,0
28,110,0,0,0,0
21,116.8,11.5,12.8,1,0
21,104.5,12.5,0,1,0
28,140,0,0,1,0
18,113.2,11.98,13.225,1,0
21,118.6,13.2,11.8,1,1
19,123.8,########,140.375,1,0
18,126.7,########,########,1,1
19,133.8,0,0,1,0
20,140,########,13,1,0
20,100.6,########,########,1,1
18,132.7,########,12.2,1,1
20,106.6,11.5,########,1,0
31,140.4,11.4,11.75,1,0
19,128.3,1.470.625,144.775,1,1
19,118.6,########,########,1,1
23,123.4,13,11.875,1,0
19,124,########,########,1,0
20,121.3,12.6,12.6,1,0
22,101,########,11.4,1,0
18,116.9,########,########,1,0
27,130,11.5,11,0,0
29,120,10,0,1,0
18,130.4,11.8,12.2,1,0
18,118.7,11.8,########,1,0
18,131.5,1.277.125,1.277.125,1,0
20,120.4,########,12.6,1,0
18,129.1,########,14.6,1,0
18,132,12.2,########,0,0
28,130,12,0,0,0
18,132.8,########,########,1,1
27,143.7,14,12.525,1,0
26,152.8,14.75,13.8,1,0
18,133.5,########,########,1,0
18,146.2,13,14,1,0
21,115.2,0,0,1,0
18,120.7,10.75,0,1,0
32,101.8,0,0,0,0
28,100,12.5,11.75,1,0
40,121.9,0,0,0,0
39,120.4,0,0,0,0
39,120.4,0,0,0,0
50,148.8,12.5,12.4,1,0
23,123,12.8,########,1,0
48,100,10,11,1,0
23,112.1,11.25,10.2,1,0
18,126.8,12.61,12.61,1,1
18,115.9,12,12.6,1,0
20,132.5,13,13.5,0,0
18,132.2,12,13,1,1
18,183.5,12,0,1,0
31,136,12,11,1,0
24,100.9,12,10.5,1,0
24,114.5,0,0,1,0
26,110.3,0,0,0,0
18,137.2,13.625,11.75,1,0
19,116.9,########,########,1,1
22,121.8,0,0,1,0
18,127.3,11.69,11.69,1,0
20,120,0,0,0,0
25,150,0,0,1,0
24,100,11.5,########,1,0
27,150,14,0,1,0
21,116.9,11,12.4,1,0
21,140,########,########,1,0
19,122.1,12.5,########,1,0
28,160,########,########,1,0
20,118.4,10,12,1,0
21,150,13,12.625,1,1
18,144.9,########,########,1,1
18,121.1,13.2,12.6,1,1
20,121.8,10.2,11,1,0
25,146.8,14.2,13.5,1,0
22,138,12.625,14.5,1,0
18,138,########,########,1,0
19,116.3,13.25,11,1,0
19,122.5,12,12,1,0
25,115,13,13.75,0,0
21,115,########,########,1,0
19,119.8,11,0,1,0
20,95,0,0,1,0
25,150,########,########,1,0
20,117.8,11,12,1,0
18,144.2,0,0,1,0
23,130,11.5,########,1,0
23,128.2,125.075,125.075,1,0
21,135.3,########,12,1,0
20,143.9,11,########,1,0
25,140.7,10,########,1,0
18,130.4,13.5,13.2,1,0
22,123.2,########,13.625,1,0
27,118,14,########,1,0
25,120,0,0,1,0
18,118.9,########,########,1,0
20,117.2,14.6,14.2,1,0
27,120,13,11.5,1,0
20,118.1,########,12,1,0
22,124.8,0,12,1,0
19,106.5,10.5,10.8,1,0
20,116.8,12.4,########,1,0
19,109.3,0,0,1,0
29,120,0,0,0,0
19,137.5,########,########,1,0
28,150,10.6,10.2,1,1
20,120.4,11.5,########,1,0
20,136.7,13.5,13.625,1,0
31,118.5,0,0,1,0
18,133,125.375,########,1,0
19,128.8,########,########,1,0
18,133,12,12.8,1,0
19,102,11.8,11.6,1,0
18,133.9,15,15.2,1,1
19,127,12,13.2,1,0
18,120.4,########,########,1,1
19,124.5,########,12,1,0
19,123.9,121.625,13.825,1,0
18,117.8,########,########,1,0
19,126.7,12.45,11.7,1,0
20,110,12.125,########,1,1
20,134.7,13.4,13,1,0
20,113.2,########,14,1,0
29,141,########,########,1,0
20,111.5,12,10,0,1
31,140,########,12.6,0,0
20,134.3,########,########,1,0
21,125.3,########,########,1,0
23,140,0,0,1,0
21,119.6,13,11.6,0,0
24,170,########,########,1,0
27,150.5,12.5,########,1,0
18,128,########,158.125,1,1
21,108.7,0,0,0,0
19,121.6,0,0,1,1
19,125.3,########,########,1,1
18,117.6,0,0,1,0
18,124.3,11.98,11.98,1,1
20,106.1,########,########,1,1
24,139.9,13,########,1,0
20,110.8,########,########,1,0
20,118,11,13.2,1,0
19,117.8,########,########,1,1
18,127.5,########,########,1,1
20,129.7,########,########,1,1
20,130.6,########,########,1,0
19,126.3,########,1.301.875,1,1
19,140,########,11.75,1,0
20,105,########,12.5,1,0
19,114.6,10.75,10,1,0
19,114.6,13.25,10.25,1,0
18,131,1.373.125,1.373.125,1,1
23,109,########,########,1,1
21,132,12,10.8,1,0
23,130,########,########,1,0
19,109.5,13.025,########,1,0
18,115.9,13,########,1,0
19,131.6,11.8,12,1,0
25,120,########,########,1,1
19,109.7,12.2,13,1,0
19,136.4,128.375,15.5,1,1
24,120,11,11.7,1,1
18,132.6,13.5,14,1,1
19,112.9,12.125,########,1,1
18,134.3,########,########,1,1
27,123.2,########,11.4,1,0
19,117.2,11.2,11.6,1,0
18,129.8,########,########,1,1
34,158,13.5,0,0,0
18,116.5,########,11,1,0
18,121,10.5,########,1,0
18,133.8,1.426.875,1.426.875,1,0
20,115,0,0,0,0
19,131.8,10.5,########,1,1
21,121,11.2,10,1,0
26,152.4,12,########,1,0
27,110.2,########,132.125,1,0
20,113.5,11.5,10.75,1,0
18,144.4,15.375,########,1,0
23,143.3,########,13.5,0,0
24,100,########,########,1,0
19,126.3,12.2,11.5,1,1
19,115.9,11.75,11,1,0
19,114.9,11.4,10,1,1
18,121,10.6,10,1,0
22,112.3,########,########,1,0
20,127,12.4,12.4,1,0
25,120,0,0,1,0
21,180,########,15.5,1,0
19,117.4,11.8,########,1,0
18,115.8,########,########,1,0
18,136.5,12,13.25,1,0
19,129,133.625,########,1,0
19,137.6,15.4,16,1,1
18,129.5,12.2,11.75,0,0
20,129.1,########,########,1,1
19,130.2,0,0,1,0
28,134.3,########,########,1,0
20,138.4,14.25,11,1,1
30,120,########,########,1,0
19,123.5,########,117.375,1,1
22,116.1,########,13.2,1,0
18,110.8,########,13.5,1,0
23,142.8,10,11,1,0
18,155.5,14,15,1,0
18,126.7,########,12,1,0
50,163.5,15,0,0,0
19,161.9,0,0,1,1
22,123.3,########,########,1,0
23,137.5,########,14,1,1
20,166.6,14.4,14,0,1
44,103.5,0,0,0,0
49,110,12,########,1,0
46,128.2,12.2,12.8,1,0
41,137.7,########,11,0,0
18,128.8,118.375,1.248.125,1,0
43,170,11.8,14,1,0
70,116.4,0,0,0,0
48,100.9,0,0,1,0
41,136,########,########,1,0
21,130,########,13,1,0
35,100,11.25,0,0,0
44,157,14,15.5,1,0
18,152.1,########,13.5,1,0
45,162.9,########,########,1,0
20,137.2,10,10.8,1,0
22,140,12.6,########,1,0
39,146.5,########,17,1,0
20,130,13.2,12,0,0
49,128,14,########,1,0
43,190,13.875,12.5,1,0
32,133.2,0,0,1,0
47,124.3,########,########,1,0
37,138.1,13,########,1,1
41,144.3,12.5,########,1,0
60,140,########,########,1,0
47,148.3,########,########,1,0
50,96,0,0,0,0
45,121.7,0,0,1,0
45,160,0,0,0,0
33,110.3,13.5,11.6,1,0
18,129,########,########,1,0
43,150,13.5,14.4,1,0
44,100,########,12,1,0
29,107.5,0,0,1,0
53,170,########,0,0,0
37,123,15.8,17.6,1,0
18,138.5,13.8,12.4,1,0
35,140,########,12,1,0
23,113.6,13,12,1,0
22,170,0,0,1,0
33,115.5,11,0,0,0
41,130,0,0,0,0
51,140,15.2,16.575,1,0
19,126.6,########,14.375,1,0
35,143.2,0,0,1,0
20,131.4,0,0,1,0
18,133.3,13.75,11.2,1,0
18,118.3,########,12,0,1
21,140,########,########,1,0
21,124.7,12,11.6,1,0
34,140,########,12.75,1,0
34,150,0,0,1,0
21,115.6,11.875,12,1,0
32,116.9,########,########,1,0
30,123.4,10,########,1,0
19,146.5,12,########,1,0
20,117.1,########,13,1,0
18,113.9,0,0,1,0
19,128.7,########,12.5,1,0
18,132.9,14.2,12.4,1,0
27,123,11.5,########,1,0
52,129.8,13,15,1,0
29,156.1,0,0,0,0
22,120,########,11,0,0
28,117.2,12.5,########,1,0
30,107,0,0,1,0
18,128.4,########,########,1,0
21,123.4,11.75,########,1,0
20,126.7,########,########,1,1
21,123,13.105,13.105,1,1
32,137.2,0,0,0,0
20,125.9,15.5,########,1,1
19,138,0,0,0,0
18,128.2,11.25,########,0,0
23,126.5,11,########,0,0
20,112.4,########,13,1,0
46,109,11.375,11.8,1,0
27,100,########,########,1,0
20,144.7,0,0,1,0
41,120,12,12,1,0
40,100,11,10,1,0
37,154,14.125,13,1,0
20,111.3,10.2,11.2,1,0
20,150,12,12.4,1,0
26,100,########,########,1,0
54,162.5,########,########,1,0
21,134.1,########,14,1,0
20,133,########,########,1,1
18,119,0,0,1,0
19,131.1,########,########,1,0
18,129.4,########,########,1,0
19,123.9,11.8,12.2,1,0
22,140,12,12,1,0
19,162,15,15.625,1,0
21,131.6,13.875,12.7,1,0
20,110.6,########,########,1,0
18,117.4,12.5,########,1,1
18,137.8,15,15.5,1,1
20,106.7,########,10.5,1,0
18,156.9,14.668,1.463.375,1,1
18,129,13.345,13.345,1,0
20,124.8,12.8,########,1,1
19,115.1,########,########,1,0
18,146.7,########,14,1,0
18,132.8,########,########,1,0
18,159.1,14.4,14,1,1
20,137.6,0,0,1,1
19,124,########,########,1,1
36,149,11.5,0,0,0
19,129.6,########,########,1,1
18,110,12,13.6,1,0
18,116.1,########,########,1,1
18,133.3,########,########,1,1
19,144.3,13,########,1,0
18,133.6,########,12.95,1,0
19,123.2,########,########,1,1
18,137.2,########,12.75,1,0
22,130,11,12,0,1
18,110,0,0,0,0
19,118,13.6,12.2,1,0
18,128.4,15.5,14,1,0
19,113.6,########,########,1,0
20,113.5,11.5,10,1,0
18,146.9,13,########,1,1
23,141.3,14,13,0,0
20,129.7,0,0,1,0
20,121.3,########,11.5,1,0
22,109.1,0,0,0,1
18,107.1,########,########,1,1
18,129.2,########,########,1,1
18,154.1,14.45,########,1,0
18,147.2,########,15,1,0
21,120,12.8,########,1,0
20,130.8,12.5,11.5,1,0
18,120.8,14.5,########,1,0
20,125.4,########,########,0,1
25,121.3,########,########,1,0
18,127,12,11.6,1,1
19,151.6,0,0,1,0
20,131.6,########,13.2,1,0
20,106,########,########,1,1
21,111.6,12.5,11.5,1,1
18,117.3,14,14,1,0
18,121.4,########,########,1,0
18,126.1,########,########,1,1
18,137,14.25,14.25,1,0
19,120.8,0,0,1,0
20,128.7,########,11,1,0
47,118,0,0,1,0
21,120,13.2,12.5,1,0
31,160,12,10,1,0
46,150,0,0,1,0
18,121.8,12,11,1,0
19,125.4,########,10.75,1,0
23,126.6,########,13.5,1,0
22,150,0,0,0,0
19,114.5,13.8,12.4,1,0
19,107,0,0,0,0
22,115.7,11.5,14,0,0
29,120,0,0,0,0
18,134.8,########,########,1,0
18,133.6,11.4,10.8,1,0
23,129,0,0,0,1
34,128.4,10.4,12,1,0
19,122.2,########,10.25,1,0
18,113.3,14.25,########,1,0
20,129.9,########,1.410.625,1,1
19,126.2,########,1.282.375,1,0
22,112.6,12.6,11.25,1,0
23,149,########,########,1,1
34,120,########,########,1,1
18,120.4,0,0,0,0
21,128.1,11.8,0,1,0
22,141.7,########,########,1,0
28,130,0,0,1,0
23,113.3,0,0,1,0
20,105.9,10.75,10,1,0
18,122.7,12.6,13.25,1,0
28,120,0,0,0,0
21,119.8,12,########,1,0
25,122.9,14,14.5,0,0
19,160,14,13.5,0,0
18,125.2,########,########,1,1
29,143.4,0,0,1,0
29,96.7,0,0,1,1
20,126.9,########,12.8,1,0
18,143.1,0,0,1,0
20,114.5,########,12.5,1,0
33,140,18,13,1,0
30,113.7,########,########,1,0
21,131.5,11.2,########,1,1
18,143.5,15,14.5,1,0
19,126.8,########,########,1,1
21,115.2,11.5,11,1,1
25,100,10,0,1,1
19,121.4,########,11.6,1,0
23,120,12.2,########,1,0
19,129.9,########,13.2,1,1
19,151.1,0,0,1,0
31,120,11,0,0,0
32,130,13,########,0,0
19,119,########,########,1,1
34,122,12.2,########,1,0
21,129.7,########,13,1,0
53,112.5,11,11,1,1
19,136,########,15.35,1,1
20,133.1,13,11.25,1,1
18,151.3,14,########,1,0
32,133.3,0,0,0,0
21,130.8,########,########,1,1
26,140,0,0,0,0
26,150,########,########,1,0
21,130,########,13,0,0
18,125.3,12.5,13,1,0
21,124,########,########,1,1
21,113.8,########,11,1,0
19,124.4,13,14,1,1
19,107.7,10,14,1,0
19,110,########,11.2,1,1
27,130,128.875,128.875,1,0
18,138.8,12.95,12.95,1,1
20,126.3,10,0,1,0
19,114.5,########,12.55,1,1
20,116.5,0,0,1,0
19,128.6,########,11,1,1
20,130,11.25,10,1,0
20,134.6,0,0,1,0
18,146.8,########,########,1,0
20,135.7,12.75,13.4,1,0
38,120,10.6,11,0,0
42,138,11.2,12,1,0
32,135.5,0,0,1,0
22,120,13,########,1,0
28,111.7,0,0,1,0
37,100,0,0,1,0
43,160,########,15,1,0
41,114.8,########,########,1,1
29,131,11.75,10.4,1,1
35,97,########,11.5,1,1
18,131.7,11.75,12.25,1,0
39,120,11.5,10.5,0,1
37,110,10,########,1,0
26,133,13.7,13.7,1,1
32,140,14,0,1,0
37,100,11.375,########,1,0
28,129.3,0,0,1,0
19,137,0,0,1,0
18,122.2,11,12.5,1,0
19,108,13,########,1,1
32,110,13.6,########,1,0
31,127.7,11,11.5,1,0
34,121.3,########,########,1,0
20,140.1,13.25,########,1,0
28,114.8,10.75,10,1,0
31,150,12,########,1,0
18,131.7,########,12.25,1,0
31,110,11.4,11,0,0
19,105.5,13,12.4,1,0
19,127.3,14,########,1,1
31,130,0,0,1,0
34,130,0,0,1,0
18,122.7,########,16.075,1,1
